Regiao,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,,,,,,,,,,,,496.68,407.03,455.37,468.92,470.14,483.17,,,,,,,,,,,,,,
Bolivia,,,,,,,,1181.0,1193.0,1090.0,1117.0,1135.0,1000.0,1151.0,1118.0,1134.0,1231.0,1044.0,1165.0,1120.0,1171.0,1218.0,1046.0,948.0,1087.0,1242.0,961.72,947.66,1077.0,860.16,
Brazil,,,,1823.0,1777.0,1741.0,1826.0,1955.0,1773.0,1808.0,1741.0,1831.0,1834.0,1872.0,1753.0,1915.0,1956.0,1770.0,1884.0,1671.0,1837.0,1749.0,1591.0,1619.0,1654.0,1795.0,1683.0,1728.0,1781.0,1710.0,
Burundi,,,,,,,,,,,,,1050.0,1350.0,1270.0,1180.0,1210.0,1280.0,1490.0,963.48,1240.0,1230.0,1250.0,1290.0,1140.0,1190.0,1320.0,1440.0,1280.0,1349.0,
Cameroon,,,,,,,1690.0,1630.0,1670.0,1680.0,1670.0,1600.0,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,640.06,531.01,640.75,613.54,614.42,632.56,673.26,625.07,638.14,612.37,645.79,651.75,599.71,
Colombia,2360.0,2480.0,2620.0,2690.0,2250.0,2680.0,2910.0,2710.0,2400.0,2710.0,2650.0,2640.0,2700.0,2720.0,2800.0,3010.0,2420.0,2920.0,3070.0,2400.0,2430.0,2370.0,2090.0,2400.0,2640.0,2500.0,2410.0,2510.0,2680.0,2856.0,
Congo,,,,,,,,,,,,,,,,,,1660.0,1650.0,1620.0,1600.0,1520.0,1500.0,1740.0,1760.0,1630.0,1800.0,1720.0,1640.0,1673.0,
Costa Rica,3080.0,2540.0,3290.0,3410.0,2960.0,3150.0,2970.0,2680.0,2720.0,3110.0,3310.0,3180.0,3060.0,2920.0,3130.0,3610.0,3760.0,3540.0,3010.0,2200.0,2420.0,2870.0,2730.0,2620.0,2780.0,3360.0,3280.0,3260.0,3200.0,2791.0,
Dominican Republic,,,,,,,,,,,,,,1525.0,1641.0,1510.0,1525.0,1478.0,1530.0,1714.0,1305.0,1340.0,1475.0,1865.0,1561.0,1302.0,1262.0,1346.0,1457.0,1597.0,
Ecuador,,,,,,,,2117.0,1800.0,2186.0,2448.0,1801.0,1493.0,1792.0,1905.0,2411.0,1729.0,2499.0,2190.0,2338.0,1998.0,2020.0,2616.0,1988.0,2576.0,1752.0,2387.0,2074.0,2005.0,1966.0,
El Salvador,,,,,,,1673.0,1686.0,1632.0,1551.0,1614.0,1678.0,1765.0,1916.0,1662.0,1991.0,1453.0,1769.0,1748.0,1648.0,1953.0,1489.0,1604.0,1677.0,1993.0,1574.0,1379.0,1708.0,1653.0,1735.0,
Ethiopia,864.74,822.68,741.28,872.01,886.11,873.93,757.02,857.49,814.17,736.92,781.84,821.35,857.95,875.58,853.80,850.65,769.28,858.65,833.97,859.87,916.63,920.93,839.14,921.59,940.61,904.53,1008.0,918.30,923.57,922.81,
Guatemala,2176.0,1831.0,2499.0,2184.0,2181.0,2376.0,2314.0,2142.0,2184.0,2069.0,1868.0,2045.0,2361.0,2387.0,2100.0,2282.0,1960.0,2478.0,2445.0,1966.0,2762.0,2187.0,1968.0,2068.0,2096.0,2003.0,1788.0,2278.0,2030.0,2450.0,
Haiti,,,,,,,,,,,1734.0,1297.0,2044.0,1400.0,2202.0,1439.0,1325.0,1736.0,1750.0,1707.0,965.81,1697.0,1317.0,1819.0,1676.0,1300.0,.1526.0,1458.0,1465.0,1271.0,
Hawaii,,,,,,1031.0,1486.0,1464.0,1392.0,1681.0,1576.0,2285.0,1804.0,1778.0,1272.0,1685.0,1673.0,1094.0,1687.0,1334.0,1545.0,1872.0,1580.0,1735.0,1754.0,2043.0,1371.0,1782.0,1876.0,1229.0,
Honduras,,,,,1861.0,1921.0,1813.0,1822.0,1827.0,1688.0,1729.0,1850.0,1826.0,2254.0,1669.0,2092.0,1726.0,1838.0,1917.0,1805.0,2094.0,1727.0,1746.0,1836.0,1962.0,1740.0,1566.0,1848.0,1823.0,1962.0,
India,,,,,,1189.0,1064.0,1042.0,1025.0,908.97,1055.0,1030.0,1116.0,1190.0,1136.0,1157.0,1001.0,1251.0,1145.0,1067.0,1255.0,1066.0,1124.0,1120.0,1158.0,1022.0,1322.0,1243.0,1231.0,1298.0,
Indonesia,2571.0,2532.0,2926.0,2827.0,2265.0,2867.0,2907.0,2925.0,2864.0,2584.0,2876.0,2627.0,2731.0,2641.0,2855.0,2997.0,2761.0,3275.0,2898.0,2853.0,2897.0,2590.0,2471.0,2945.0,3014.0,2811.0,2500.0,2982.0,3074.0,3148.0,
Jamaica,,,,,,,2078.0,1642.0,1893.0,1689.0,2287.0,1593.0,2900.0,1510.0,2989.0,2046.0,1353.0,3363.0,2489.0,2098.0,1773.0,1667.0,1194.0,1600.0,2900.0,1559.0,1631.0,2482.0,2022.0,1566.0,
Kenya,639.10,737.22,663.84,540.90,997.11,732.06,613.37,498.47,638.27,814.68,650.38,658.37,545.12,795.55,716.54,687.87,683.22,675.68,648.39,816.95,768.46,627.26,808.21,712.25,1058.67,835.23,1146.11,811.83,1029.11,934.09,
Laos,,,,,,,,,,,,,,,,,,,2190.0,1870.0,2060.0,1560.0,1570.0,1900.0,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,1251.0,1342.0,1505.0,1553.0,1371.0,1334.0,,
Malawi,,,,,,,,,,,,,,,,,1100.0,934.38,1150.0,999.0,1050.0,996.99,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,2660.0,2830.0,3260.0,3240.0,2600.0,3050.0,3300.0,3484.0,
Mexico,,656.74,756.90,720.05,735.26,782.53,787.81,724.75,690.68,731.83,776.21,843.60,726.59,815.64,781.93,796.83,686.10,826.22,695.14,709.43,929.81,865.18,764.67,800.78,794.19,781.83,720.06,690.80,836.47,747.87,
Nepal,,,,,,,,,,,,,,,,,,,,,,732.86,1300.0,1319.0,1288.0,1290.0,1212.0,1300.0,1365.0,,
Nicaragua,2292.0,1931.0,2462.0,2621.0,2143.0,2454.0,2429.0,2131.0,2120.0,2173.0,2365.0,2532.0,2405.0,2460.0,2247.0,2722.0,2183.0,2619.0,2356.0,2146.0,2200.0,2096.0,2059.0,2145.0,2447.0,2181.0,2019.0,2496.0,2208.0,2449.0,
Panama,,,,2499.0,2442.0,2414.0,2526.0,2407.0,2434.0,2499.0,2568.0,2584.0,2415.0,2360.0,2568.0,2570.0,2431.0,2622.0,2582.0,2222.0,2222.0,2438.0,2249.0,2266.0,2364.0,2528.0,2529.0,2517.0,2514.0,2351.0,
Papua New Guinea,,,,3325.0,3092.0,3140.0,3172.0,3090.0,3115.0,3125.0,3083.0,3103.0,3108.0,3091.0,3145.0,3144.0,3175.0,3264.0,3141.0,3174.0,3132.0,3158.0,3063.0,3110.0,3096.0,3071.0,3050.0,3100.0,3195.0,3132.0,
Peru,,,,,1588.0,1532.0,1765.0,1684.0,1749.0,1695.0,1767.0,1752.0,1535.0,1788.0,1690.0,1687.0,1690.0,1407.0,1629.0,1460.0,1606.0,1572.0,1570.0,1557.0,1624.0,1597.0,1645.0,1584.0,1498.0,1234.0,
Philippines,,,,,,,,,,,,,,,,3170.0,2840.0,2620.0,3380.0,2970.0,2740.0,2520.0,2380.0,2510.0,3180.0,2770.0,2420.0,2530.0,2830.0,3068.0,
Puerto Rico,,,,,,,2075.0,1452.0,1724.0,1612.0,2199.0,2312.0,2451.0,2415.0,1960.0,2139.0,2244.0,2841.0,2705.0,1757.0,2541.0,2099.0,1432.0,2393.0,2281.0,1797.0,1718.0,2019.0,1781.0,1972.0,
Rwanda,,,,,,,,1052.0,1371.0,1164.0,1212.0,848.17,973.72,1311.0,1285.0,1092.0,1210.0,1337.0,2011.0,1379.0,1085.0,1208.0,1190.0,1237.0,1233.0,1122.0,1127.0,1346.0,1350.0,1206.0,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,433.48,431.76,389.73,390.05,468.19,526.60,,
Taiwan,,,,,,,,,,,,,,,2017.0,2346.0,2076.0,2294.0,1819.0,2475.0,2306.0,2066.0,2303.0,2296.0,2191.0,2280.0,2223.0,2049.0,2090.0,2186.0,
Tanzania,,,,,,,946.37,867.02,9069.97,1093.0,768.18,980.31,760.64,1137.0,920.68,914.45,919.28,861.86,977.45,790.46,945.60,921.80,958.79,1079.0,951.35,1037.0,1145.0,1238.0,960.36,996.76,
Thailand,,,,,,,,,,1645.0,1539.0,1438.0,1581.0,1714.0,1662.0,1712.0,1638.0,1637.0,1990.0,1538.0,1760.0,1472.0,1420.0,1600.0,1985.0,1573.0,1508.0,1541.0,1631.0,2066.0,
Uganda,,,,,,,,,,,,,,,,1240.0,1190.0,1380.0,1250.0,1380.0,1440.0,1190.0,1330.0,1300.0,1400.0,1290.0,1600.0,1427.0,1380.0,1406.0,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,1890.0,1790.0,1630.0,1670.0,1760.0,1752.0,
Yemen,,,,,,,214.04,197.80,187.46,191.71,188.65,189.78,186.67,186.67,209.41,188.76,186.05,186.70,190.64,185.33,185.39,188.42,186.12,190.08,188.83,187.61,185.96,188.15,186.96,190.54,
Zambia,,,,,,,,,1091.0,912.36,1020.0,1115.0,863.15,1038.0,976.79,1026.0,1049.0,1055.0,972.48,1103.0,1010.0,1017.0,920.74,897.08,1215.0,1032.82,1011.0,1035.0,1004.0,1034.0,
Zimbabwe,,,477.12,738.62,839.32,700.69,720.08,913.34,895.31,447.16,618.08,781.23,608.40,756.27,708.99,597.50,680.95,719.68,783.82,586.12,660.78,624.70,453.74,562.26,941.18,635.43,,,,,
