Regiao;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Australia;;;;;;;;;;;;21.99;22.48;21.83;21.99;21.71;22.11;;;;;;;;;;;;;;
Bolivia;;;;;;;;20.59;20.56;20.78;20.44;20.85;20.63;20.82;20.46;20.27;20.58;20.74;20.68;20.67;20.44;21.01;21.25;20.89;20.97;20.56;20.90;21.35;20.82;;
Brazil;;;;25.05;25.28;25.68;25.15;25.09;25.36;25.63;25.43;25.35;25.61;25.42;25.54;25.24;25.44;25.68;25.36;25.56;25.50;25.67;25.97;25.84;25.77;25.59;25.94;25.93;25.58;;
Burundi;;;;;;;;;;;;;20.71;20.47;20.49;20.31;20.76;20.85;20.35;20.37;20.57;20.36;20.45;20.68;20.90;20.40;20.63;20.44;20.53;;
Cameroon;;;;;;;24.59;24.57;24.63;24.81;24.86;24.93;;;;;;;;;;;;;;;;;;;
China;;;;;;;;;;;;;;;;;;07.56;07.37;07.06;07.72;07.71;07.95;07.92;08.10;07.75;08.01;07.89;08.19;;
Colombia;20.80;24.77;24.97;24.63;25.01;25.30;24.46;24.48;24.88;25.01;25.09;24.91;25.0;24.87;24.80;24.52;24.98;25.20;24.85;25.01;25.20;25.32;25.62;25.65;25.11;25.04;25.42;25.36;24.97;;
Congo;;;;;;;;;;;;;;;;;;24.74;24.25;24.19;24.30;24.24;24.33;24.54;24.41;24.32;24.37;24.48;24.46;;
Costa Rica;24.89;24.89;24.86;24.35;24.92;25.09;24.18;24.42;24.85;25.0;25.05;24.87;24.76;24.93;24.73;24.69;25.09;24.91;24.73;24.75;24.90;25.04;25.14;25.16;24.92;24.53;24.89;25.08;24.94;;
Dominican Republic;;;;;;;;;;;;;;24.52;24.28;23.90;24.26;24.27;23.88;24.35;24.48;24.77;25.05;24.88;24.69;24.57;24.89;24.86;24.70;;
Ecuador;;;;;;;;20.81;20.94;21.45;21.29;21.30;21.18;21.28;20.75;21.04;21.56;21.33;21.11;21.32;21.08;21.60;22.10;21.93;21.70;21.50;21.97;21.78;21.35;;
El Salvador;;;;;;;24.56;24.84;25.20;25.38;25.44;25.34;25.24;25.25;25.16;25.13;25.51;25.09;25.21;25.32;25.30;25.38;25.71;25.75;25.57;25.04;25.51;25.79;25.56;;
Ethiopia;22.82;22.91;23.11;23.14;23.13;23.38;22.82;23.15;23.28;23.72;23.46;23.40;23.50;23.42;23.32;23.25;23.95;23.67;23.57;23.38;23.73;23.50;23.94;23.92;23.65;23.27;23.41;23.38;23.35;;
Guatemala;23.16;23.48;23.51;23.09;23.59;23.85;23.05;23.27;23.58;23.73;23.83;23.77;23.73;23.64;23.54;23.58;23.95;23.38;23.78;23.84;23.71;23.71;24.16;24.26;24.05;23.51;24.0;24.35;24.09;;
Haiti;;;;;;;;;;;25.04;24.75;24.73;24.93;24.63;24.26;24.57;24.46;24.22;24.68;24.82;25.13;25.45;25.26;25.06;24.99;25.27;25.26;25.06;25.01;
Hawaii;;;;;;20.05;19.99;20.50;20.66;20.58;20.94;21.14;21.02;20.56;20.88;20.65;20.24;20.48;20.70;20.43;20.62;20.96;21.43;21.16;21.0;21.22;21.71;21.81;21.07;21.20;
Honduras;;;;;24.73;24.91;24.09;24.32;24.70;24.85;24.91;24.77;24.71;24.76;24.68;24.61;24.96;24.58;24.69;24.79;24.78;24.81;25.15;25.18;25.01;24.52;24.97;25.21;25.05;;
